,neighborhood,borough,nb latitude,nb longitude,lyft_pickups
125,Morningside Heights,Manhattan,40.807999738165826,-73.96389627905332,1180
126,Gramercy,Manhattan,40.737209832715,-73.98137594833541,7071
127,Battery Park City,Manhattan,40.71193198394565,-74.01686930508617,2169
128,Financial District,Manhattan,40.70710710727048,-74.0106654452127,4513
129,Astoria,Queens,40.76850859335492,-73.91565374304234,854
130,Woodside,Queens,40.74634908860222,-73.90184166838284,379
131,Jackson Heights,Queens,40.75198138007367,-73.88282109164365,217
132,Elmhurst,Queens,40.744048505122024,-73.88165622288388,254
133,Howard Beach,Queens,40.65422527738487,-73.8381376460028,7
134,Corona,Queens,40.74238175015667,-73.85682497345258,117
135,Forest Hills,Queens,40.72526378216503,-73.84447500788983,246
136,Kew Gardens,Queens,40.7051790354148,-73.82981905825703,104
137,Richmond Hill,Queens,40.69794731471763,-73.83183321446887,42
138,Flushing,Queens,40.76445419697846,-73.83177300329582,227
139,Long Island City,Queens,40.75021734610528,-73.93920223915505,783
140,Sunnyside,Queens,40.74017628351924,-73.92691617561577,464
141,East Elmhurst,Queens,40.76407323883091,-73.86704147658772,196
142,Maspeth,Queens,40.725427374093606,-73.89621713626859,47
143,Ridgewood,Queens,40.70832315613858,-73.90143517559589,157
144,Glendale,Queens,40.70276242967838,-73.87074167435605,17
145,Rego Park,Queens,40.72897409480735,-73.8578268690537,217
146,Woodhaven,Queens,40.68988687915789,-73.8581104655432,106
147,Ozone Park,Queens,40.680708468265415,-73.84320266173447,80
148,South Ozone Park,Queens,40.66854957767195,-73.80986478649041,43
149,College Point,Queens,40.784902749260205,-73.84304528896125,39
150,Whitestone,Queens,40.78129076602694,-73.81420216610863,10
151,Bayside,Queens,40.76604063281064,-73.7742736306867,24
152,Auburndale,Queens,40.76172954903262,-73.79176243728061,26
153,Little Neck,Queens,40.7708261928267,-73.7388977558074,0
154,Douglaston,Queens,40.76684609790763,-73.7424982072733,1
155,Glen Oaks,Queens,40.74944079974332,-73.71548118999145,0
156,Bellerose,Queens,40.72857318176675,-73.72012814826903,3
157,Kew Gardens Hills,Queens,40.722578244228046,-73.82087764933566,42
158,Fresh Meadows,Queens,40.7343944653313,-73.78271337003264,45
159,Briarwood,Queens,40.71093547252271,-73.81174822458634,67
160,Jamaica Center,Queens,40.70465736068717,-73.79690165888289,191
161,Oakland Gardens,Queens,40.74561857141855,-73.75494976234332,23
162,Queens Village,Queens,40.718893092167356,-73.73871484578424,10
163,Hollis,Queens,40.71124344191904,-73.75925009335594,24
164,South Jamaica,Queens,40.696911253789885,-73.7904261313554,31
165,St. Albans,Queens,40.69444538522359,-73.75867603727717,17
166,Rochdale,Queens,40.67521139591733,-73.77258787620906,47
167,Springfield Gardens,Queens,40.666230490368584,-73.76042092682287,46
168,Cambria Heights,Queens,40.692774639160845,-73.73526873708026,20
169,Rosedale,Queens,40.659816433428084,-73.73526079428278,42
170,Far Rockaway,Queens,40.603134432500894,-73.75497968043872,34
171,Broad Channel,Queens,40.60302658351238,-73.8200548911032,0
172,Breezy Point,Queens,40.55740128845452,-73.92551196994168,0
173,Steinway,Queens,40.775923015642896,-73.90228960391673,182
174,Beechhurst,Queens,40.79278140360048,-73.80436451720988,8
175,Bay Terrace,Queens,40.782842806245554,-73.7768022262158,10
176,Edgemere,Queens,40.595641807368494,-73.77613282391705,3
177,Arverne,Queens,40.58914394372971,-73.79199233136943,2
178,Rockaway Beach,Queens,40.582801696845586,-73.82236121088751,7
179,Neponsit,Queens,40.572036730217015,-73.85754672410827,0
180,Murray Hill,Queens,40.764126122614066,-73.81276269135866,69
181,Floral Park,Queens,40.741378421945434,-73.70884705889246,0
182,Holliswood,Queens,40.7209572076444,-73.76714166714729,9
183,Jamaica Estates,Queens,40.71680483014613,-73.7872269693666,47
184,Queensboro Hill,Queens,40.7445723092867,-73.82580915110559,85
185,Hillcrest,Queens,40.723824901829204,-73.79760300912672,107
186,Ravenswood,Queens,40.761704526054146,-73.93157506072878,592
187,Lindenwood,Queens,40.66391841925139,-73.84963782402441,29
188,Laurelton,Queens,40.66788389660247,-73.74025607989822,30
189,Lefrak City,Queens,40.736074570830795,-73.8625247141374,228
190,Belle Harbor,Queens,40.57615556543109,-73.8540175039252,2
191,Rockaway Park,Queens,40.58034295646131,-73.84153370226186,1
192,Somerville,Queens,40.59771061565768,-73.79664750844047,5
