,neighborhood,venue
1741,Greenpoint,Agriculture and Forestry Service
1742,Greenpoint,Coffee Shop
1743,Greenpoint,Gourmet Store
1744,Gravesend,Cocktail Bar
1745,Gravesend,Italian Restaurant
1746,Gravesend,Bakery
1747,Gravesend,Nail Salon
1748,Gravesend,Bagel Shop
1749,Gravesend,Meat and Seafood Store
1750,Gravesend,Cocktail Bar
1751,Gravesend,Sports Bar
1752,Gravesend,Drugstore
1753,Gravesend,Deli
1754,Gravesend,Liquor Store
1755,Gravesend,Banking and Finance
1756,Gravesend,Pizzeria
1757,Gravesend,Bank
1758,Gravesend,Italian Restaurant
1759,Gravesend,Tanning Salon
1760,Gravesend,American Restaurant
1761,Gravesend,Butcher
1762,Gravesend,Bakery
1763,Gravesend,Telecommunication Service
1764,Gravesend,Music School
1765,Gravesend,Restaurant
1766,Gravesend,Restaurant
1767,Gravesend,Fast Food Restaurant
1768,Gravesend,Butcher
1769,Gravesend,Fruit and Vegetable Store
1770,Gravesend,Men's Store
1771,Gravesend,Bar
1772,Gravesend,Nail Salon
1773,Gravesend,Pool Hall
1774,Gravesend,Other Great Outdoors
1775,Gravesend,Bicycle Store
1776,Gravesend,Bakery
1777,Gravesend,Burger Joint
1778,Gravesend,Hair Salon
1779,Gravesend,Nail Salon
1780,Gravesend,Bagel Shop
1781,Gravesend,Grocery Store / Supermarket
1782,Gravesend,Automotive Retail
1783,Gravesend,Asian Restaurant
1784,Gravesend,Hair Salon
1785,Gravesend,Café
1786,Gravesend,Convenience Store
1787,Gravesend,Bagel Shop
1788,Gravesend,Bank
1789,Gravesend,Chinese Restaurant
1790,Gravesend,Park
1791,Gravesend,American Restaurant
1792,Gravesend,Chinese Restaurant
1793,Brighton Beach,Modern European Restaurant
1794,Brighton Beach,Food and Beverage Retail
1795,Brighton Beach,Gourmet Store
1796,Brighton Beach,Dessert Shop
1797,Brighton Beach,Café
1798,Brighton Beach,Sushi Restaurant
1799,Brighton Beach,Grocery Store / Supermarket
1800,Brighton Beach,Bookstore
1801,Brighton Beach,Music Venue
1802,Brighton Beach,Sushi Restaurant
1803,Brighton Beach,Other Great Outdoors
1804,Brighton Beach,Mediterranean Restaurant
1805,Brighton Beach,Hair Salon
1806,Brighton Beach,American Restaurant
1807,Brighton Beach,Bank
1808,Brighton Beach,Playground
1809,Brighton Beach,Drugstore
1810,Brighton Beach,Bakery
1811,Brighton Beach,Café
1812,Brighton Beach,Nail Salon
1813,Brighton Beach,Eastern European Restaurant
1814,Brighton Beach,Bank
1815,Brighton Beach,Concert Hall
1816,Brighton Beach,Beach
1817,Brighton Beach,Burger Joint
1818,Brighton Beach,Health Food Store
1819,Brighton Beach,American Restaurant
1820,Brighton Beach,Restaurant
1821,Brighton Beach,Bagel Shop
1822,Brighton Beach,Bakery
1823,Brighton Beach,Coffee Shop
1824,Brighton Beach,Mobile Phone Store
1825,Brighton Beach,Fast Food Restaurant
1826,Brighton Beach,Grocery Store / Supermarket
1827,Brighton Beach,Beer Garden
1828,Brighton Beach,Burger Joint
1829,Brighton Beach,American Restaurant
1830,Brighton Beach,Grocery Store / Supermarket
1831,Brighton Beach,Mobile Phone Store
1832,Brighton Beach,Fast Food Restaurant
1833,Brighton Beach,Indian Restaurant
1834,Brighton Beach,Bank
1835,Brighton Beach,Convenience Store
1836,Brighton Beach,Beach
1837,Brighton Beach,Cocktail Bar
1838,Brighton Beach,Bank
1839,Brighton Beach,Bar
1840,Brighton Beach,Grocery Store / Supermarket
1841,Brighton Beach,Pizzeria
1842,Brighton Beach,Café
1843,Sheepshead Bay,Chinese Restaurant
1844,Sheepshead Bay,Clothing Store
1845,Sheepshead Bay,Lounge
1846,Sheepshead Bay,American Restaurant
1847,Sheepshead Bay,Beer Garden
1848,Sheepshead Bay,Mediterranean Restaurant
1849,Sheepshead Bay,Dessert Shop
1850,Sheepshead Bay,American Restaurant
1851,Sheepshead Bay,Diner
1852,Sheepshead Bay,Café
1853,Sheepshead Bay,Italian Restaurant
1854,Sheepshead Bay,American Restaurant
1855,Sheepshead Bay,Frozen Yogurt Shop
1856,Sheepshead Bay,Fruit and Vegetable Store
1857,Sheepshead Bay,Drugstore
1858,Sheepshead Bay,Butcher
1859,Sheepshead Bay,Restaurant
1860,Sheepshead Bay,Karaoke Bar
1861,Sheepshead Bay,Department Store
1862,Sheepshead Bay,Fast Food Restaurant
1863,Sheepshead Bay,Pizzeria
1864,Sheepshead Bay,Bakery
1865,Sheepshead Bay,Travel and Transportation
1866,Sheepshead Bay,Italian Restaurant
1867,Sheepshead Bay,Organization
1868,Sheepshead Bay,Party Supply Store
1869,Sheepshead Bay,Lounge
1870,Sheepshead Bay,Modern European Restaurant
1871,Sheepshead Bay,Buffet
1872,Sheepshead Bay,Bank
1873,Sheepshead Bay,Laundry Service
1874,Sheepshead Bay,Banking and Finance
1875,Sheepshead Bay,Creperie
1876,Sheepshead Bay,Grocery Store / Supermarket
1877,Sheepshead Bay,Drugstore
1878,Sheepshead Bay,Ice Cream Parlor
1879,Sheepshead Bay,American Restaurant
1880,Sheepshead Bay,Café
1881,Sheepshead Bay,Children's Clothing Store
1882,Sheepshead Bay,Liquor Store
1883,Sheepshead Bay,Deli
1884,Sheepshead Bay,Bank
1885,Manhattan Terrace,Bakery
1886,Manhattan Terrace,Department Store
1887,Manhattan Terrace,Sushi Restaurant
1888,Manhattan Terrace,Pizzeria
1889,Manhattan Terrace,Pizzeria
1890,Manhattan Terrace,Convenience Store
1891,Manhattan Terrace,Hair Salon
1892,Manhattan Terrace,Indian Restaurant
1893,Manhattan Terrace,Grocery Store / Supermarket
1894,Manhattan Terrace,Ice Cream Parlor
1895,Manhattan Terrace,Bagel Shop
1896,Manhattan Terrace,Middle Eastern Restaurant
1897,Manhattan Terrace,BBQ Joint
1898,Manhattan Terrace,Health and Medicine
1899,Manhattan Terrace,Japanese Restaurant
1900,Manhattan Terrace,Bakery
1901,Manhattan Terrace,Burger Joint
1902,Manhattan Terrace,Café
1903,Manhattan Terrace,Ice Cream Parlor
1904,Manhattan Terrace,Organic Grocery
1905,Manhattan Terrace,Office Supply Store
1906,Manhattan Terrace,Sushi Restaurant
1907,Manhattan Terrace,Burger Joint
1908,Manhattan Terrace,Mobile Phone Store
1909,Manhattan Terrace,Pizzeria
1910,Manhattan Terrace,Deli
1911,Manhattan Terrace,Night Club
1912,Manhattan Terrace,Bagel Shop
1913,Manhattan Terrace,Accounting and Bookkeeping Service
1914,Manhattan Terrace,Bagel Shop
1915,Manhattan Terrace,Comedy Club
1916,Manhattan Terrace,Nail Salon
1917,Manhattan Terrace,Car Parts and Accessories
1918,Manhattan Terrace,Drugstore
1919,Manhattan Terrace,Chinese Restaurant
1920,Manhattan Terrace,Drugstore
1921,Manhattan Terrace,Nail Salon
1922,Manhattan Terrace,Ice Cream Parlor
1923,Manhattan Terrace,Pizzeria
1924,Manhattan Terrace,American Restaurant
1925,Manhattan Terrace,Grocery Store / Supermarket
1926,Manhattan Terrace,Restaurant
1927,Manhattan Terrace,Grocery Store / Supermarket
1928,Manhattan Terrace,Fruit and Vegetable Store
1929,Manhattan Terrace,Bicycle Store
1930,Manhattan Terrace,Home Service
1931,Manhattan Terrace,Butcher
1932,Manhattan Terrace,Tobacco Store
1933,Manhattan Terrace,Falafel Restaurant
1934,Manhattan Terrace,Pizzeria
1935,Flatbush,Juice Bar
1936,Flatbush,Caribbean Restaurant
1937,Flatbush,Cocktail Bar
1938,Flatbush,Cocktail Bar
1939,Flatbush,Coffee Shop
1940,Flatbush,Pizzeria
1941,Flatbush,Chinese Restaurant
1942,Flatbush,Fast Food Restaurant
1943,Flatbush,Mexican Restaurant
1944,Flatbush,Grocery Store / Supermarket
1945,Flatbush,Juice Bar
1946,Flatbush,Caribbean Restaurant
1947,Flatbush,Nail Salon
1948,Flatbush,Bagel Shop
1949,Flatbush,Bank
1950,Flatbush,Hair Salon
1951,Flatbush,Bagel Shop
1952,Flatbush,Café
1953,Flatbush,Coffee Shop
1954,Flatbush,Fast Food Restaurant
1955,Flatbush,Caribbean Restaurant
1956,Flatbush,Latin American Restaurant
1957,Flatbush,Drugstore
1958,Flatbush,"Cafes, Coffee, and Tea Houses"
1959,Flatbush,Deli
1960,Flatbush,Plaza
1961,Flatbush,Barbershop
1962,Flatbush,Bubble Tea Shop
1963,Flatbush,Cocktail Bar
1964,Flatbush,Night Club
1965,Flatbush,Bakery
1966,Flatbush,Nail Salon
1967,Flatbush,Art Gallery
1968,Crown Heights,Café
1969,Crown Heights,Storage Facility
1970,Crown Heights,Nail Salon
1971,Crown Heights,Hair Salon
1972,Crown Heights,Wine Bar
1973,Crown Heights,Burger Joint
1974,Crown Heights,Pizzeria
1975,Crown Heights,Grocery Store / Supermarket
1976,Crown Heights,Bank
1977,Crown Heights,Coffee Shop
1978,Crown Heights,Playground
1979,Crown Heights,Coffee Shop
1980,Crown Heights,Candy Store
1981,Crown Heights,Kosher Restaurant
1982,Crown Heights,Bookstore
1983,Crown Heights,Bakery
1984,Crown Heights,Art Museum
1985,Crown Heights,Hot Dog Joint
1986,Crown Heights,Bakery
1987,Crown Heights,General Contractor
1988,Crown Heights,Arts and Entertainment
1989,Crown Heights,Cosmetics Store
1990,Crown Heights,Sushi Restaurant
1991,Crown Heights,Bookstore
1992,Crown Heights,Bagel Shop
1993,Crown Heights,Fish and Chips Shop
1994,Crown Heights,Farmers' Market
1995,Crown Heights,Elementary School
1996,Crown Heights,Bar
1997,Crown Heights,ATM
1998,Crown Heights,American Restaurant
1999,Crown Heights,Dry Cleaner
2000,Crown Heights,Electronics Store
2001,Crown Heights,Lake
2002,Crown Heights,Bakery
2003,Crown Heights,Hair Salon
2004,Crown Heights,Dry Cleaner
2005,Crown Heights,Butcher
2006,Crown Heights,Hair Salon
2007,Crown Heights,Ice Cream Parlor
2008,East Flatbush,Grocery Store / Supermarket
2009,East Flatbush,Dry Cleaner
2010,East Flatbush,Bank
2011,East Flatbush,Drugstore
2012,East Flatbush,Chinese Restaurant
2013,East Flatbush,Barbershop
2014,East Flatbush,Bakery
2015,East Flatbush,Barbershop
2016,East Flatbush,Department Store
2017,East Flatbush,Chinese Restaurant
2018,East Flatbush,Fried Chicken Joint
2019,East Flatbush,Café
2020,East Flatbush,Playground
2021,East Flatbush,Discount Store
2022,East Flatbush,Restaurant
2023,East Flatbush,Discount Store
2024,East Flatbush,Hair Salon
2025,East Flatbush,Sports Bar
2026,East Flatbush,Lounge
2027,East Flatbush,Caribbean Restaurant
2028,East Flatbush,Restaurant
2029,East Flatbush,Sports Bar
2030,East Flatbush,Playground
2031,East Flatbush,Caribbean Restaurant
2032,East Flatbush,Latin American Restaurant
2033,Kensington,Fast Food Restaurant
2034,Kensington,Liquor Store
2035,Kensington,Sandwich Restaurant
2036,Kensington,Fruit and Vegetable Store
2037,Kensington,Sports and Recreation
2038,Kensington,Pizzeria
2039,Kensington,Bakery
2040,Kensington,Thai Restaurant
2041,Kensington,Bagel Shop
2042,Kensington,Bagel Shop
2043,Kensington,Ice Cream Parlor
2044,Kensington,Drugstore
2045,Kensington,Bakery
2046,Kensington,Grocery Store / Supermarket
2047,Kensington,Burger Joint
2048,Kensington,Thai Restaurant
2049,Kensington,Nail Salon
2050,Kensington,Clothing Store
2051,Kensington,Restaurant
2052,Kensington,Sushi Restaurant
2053,Kensington,Furniture and Home Store
2054,Kensington,Park
2055,Kensington,Deli
2056,Kensington,Flower Store
2057,Kensington,Café
2058,Kensington,Pub
2059,Kensington,Fruit and Vegetable Store
2060,Kensington,Storage Facility
2061,Kensington,Nail Salon
2062,Kensington,Hair Salon
2063,Kensington,Hair Salon
2064,Kensington,Music Venue
2065,Kensington,Asian Restaurant
2066,Kensington,Nail Salon
2067,Kensington,Burger Joint
2068,Kensington,Playground
2069,Kensington,Spiritual Center
2070,Kensington,Clothing Store
2071,Kensington,Drugstore
2072,Kensington,Bike Trail
2073,Kensington,Grocery Store / Supermarket
2074,Kensington,Butcher
2075,Kensington,BBQ Joint
2076,Kensington,Bakery
2077,Kensington,Bank
2078,Kensington,Business and Professional Services
2079,Kensington,Daycare
2080,Kensington,Bike Trail
2081,Kensington,Motorcycle Dealership
2082,Windsor Terrace,Arts and Crafts Store
2083,Windsor Terrace,Hot Dog Joint
2084,Windsor Terrace,Gourmet Store
2085,Windsor Terrace,Café
2086,Windsor Terrace,Antique Store
2087,Windsor Terrace,Hair Salon
2088,Windsor Terrace,Asian Restaurant
2089,Windsor Terrace,Middle Eastern Restaurant
2090,Windsor Terrace,Bakery
2091,Windsor Terrace,Coffee Shop
2092,Windsor Terrace,Bookstore
2093,Windsor Terrace,Coffee Shop
2094,Windsor Terrace,Deli
2095,Windsor Terrace,Cantonese Restaurant
2096,Windsor Terrace,Restaurant
2097,Windsor Terrace,Hair Salon
2098,Windsor Terrace,Bar
2099,Windsor Terrace,Clothing Store
2100,Windsor Terrace,Liquor Store
2101,Windsor Terrace,Miscellaneous Store
2102,Windsor Terrace,Fruit and Vegetable Store
2103,Windsor Terrace,Butcher
2104,Windsor Terrace,Burger Joint
2105,Windsor Terrace,Park
2106,Windsor Terrace,Italian Restaurant
2107,Windsor Terrace,Beer Store
2108,Windsor Terrace,Ice Cream Parlor
2109,Windsor Terrace,Bar
2110,Windsor Terrace,Plaza
2111,Windsor Terrace,Park
2112,Windsor Terrace,Coffee Shop
2113,Windsor Terrace,Pizzeria
2114,Windsor Terrace,Bar
2115,Windsor Terrace,Landmarks and Outdoors
2116,Windsor Terrace,Café
2117,Windsor Terrace,Food Truck
2118,Windsor Terrace,Bridge
2119,Windsor Terrace,Bike Trail
2120,Windsor Terrace,American Restaurant
2121,Windsor Terrace,Memorial Site
2122,Windsor Terrace,Farm
2123,Windsor Terrace,Park
2124,Windsor Terrace,Grocery Store / Supermarket
2125,Windsor Terrace,Deli
2126,Windsor Terrace,Salad Restaurant
2127,Windsor Terrace,Park
2128,Windsor Terrace,Child Care Service
2129,Windsor Terrace,Memorial Site
2130,Windsor Terrace,Concert Hall
2131,Windsor Terrace,Park
2132,Prospect Heights,Playground
2133,Prospect Heights,Bar
2134,Prospect Heights,Coffee Shop
2135,Prospect Heights,Caribbean Restaurant
2136,Prospect Heights,Liquor Store
2137,Prospect Heights,Cocktail Bar
2138,Prospect Heights,Burger Joint
2139,Prospect Heights,Sushi Restaurant
2140,Prospect Heights,Cocktail Bar
2141,Prospect Heights,Bar
2142,Prospect Heights,Beer Bar
2143,Prospect Heights,Bar
2144,Prospect Heights,Sports Bar
2145,Prospect Heights,Cocktail Bar
2146,Prospect Heights,Garden Center
2147,Prospect Heights,Diner
2148,Prospect Heights,Pizzeria
2149,Prospect Heights,Bar
2150,Prospect Heights,American Restaurant
2151,Prospect Heights,Cajun / Creole Restaurant
2152,Prospect Heights,American Restaurant
2153,Prospect Heights,American Restaurant
2154,Prospect Heights,Coffee Shop
2155,Prospect Heights,Nail Salon
2156,Prospect Heights,Seafood Restaurant
2157,Prospect Heights,Asian Restaurant
2158,Prospect Heights,Bakery
2159,Prospect Heights,Restaurant
2160,Prospect Heights,Coffee Shop
2161,Prospect Heights,Caribbean Restaurant
2162,Prospect Heights,Health and Beauty Service
2163,Prospect Heights,Restaurant
2164,Prospect Heights,Ice Cream Parlor
2165,Prospect Heights,French Restaurant
2166,Prospect Heights,Bagel Shop
2167,Prospect Heights,Bakery
2168,Prospect Heights,Beer Bar
2169,Prospect Heights,American Restaurant
2170,Prospect Heights,Cocktail Bar
2171,Prospect Heights,Donut Shop
2172,Prospect Heights,Mediterranean Restaurant
2173,Prospect Heights,Korean Restaurant
2174,Prospect Heights,Beer Bar
2175,Prospect Heights,Bakery
2176,Prospect Heights,Bubble Tea Shop
2177,Prospect Heights,Jazz and Blues Venue
2178,Prospect Heights,Wine Bar
2179,Prospect Heights,Wine Bar
2180,Prospect Heights,Thai Restaurant
2181,Prospect Heights,Bistro
2182,Brownsville,Burger Joint
2183,Brownsville,Fast Food Restaurant
2184,Brownsville,Pizzeria
2185,Brownsville,Coffee Shop
2186,Brownsville,Deli
2187,Brownsville,Doors and Windows Contractor
2188,Brownsville,Hiking Trail
2189,Brownsville,Convenience Store
2190,Brownsville,BBQ Joint
2191,Brownsville,Park
2192,Brownsville,Swimming Pool
2193,Brownsville,Campground
2194,Brownsville,Farmers' Market
2195,Brownsville,Public and Social Service
2196,Brownsville,Plaza
2197,Brownsville,Cocktail Bar
2198,Brownsville,Discount Store
2199,Brownsville,Bagel Shop
2200,Brownsville,Lounge
2201,Brownsville,Barbershop
2202,Brownsville,Chinese Restaurant
2203,Brownsville,Fried Chicken Joint
2204,Brownsville,Bakery
2205,Brownsville,Other Great Outdoors
2206,Brownsville,Discount Store
2207,Brownsville,Bakery
2208,Brownsville,Grocery Store / Supermarket
2209,Brownsville,Chinese Restaurant
2210,Brownsville,Liquor Store
2211,Brownsville,Laundry Service
2212,Brownsville,Fried Chicken Joint
2213,Brownsville,Spa
2214,Brownsville,Dining and Drinking
2215,Williamsburg,Night Club
2216,Williamsburg,Diner
2217,Williamsburg,Lounge
2218,Williamsburg,Latin American Restaurant
2219,Williamsburg,Grocery Store / Supermarket
2220,Williamsburg,Liquor Store
2221,Williamsburg,American Restaurant
2222,Williamsburg,Diner
2223,Williamsburg,Pizzeria
2224,Williamsburg,Latin American Restaurant
2225,Williamsburg,Café
2226,Williamsburg,Restaurant
2227,Williamsburg,Latin American Restaurant
2228,Williamsburg,Bagel Shop
2229,Williamsburg,American Restaurant
2230,Williamsburg,Barbershop
2231,Williamsburg,Bakery
2232,Williamsburg,Pizzeria
2233,Williamsburg,Restaurant
2234,Williamsburg,Coffee Shop
2235,Williamsburg,Steakhouse
2236,Williamsburg,Fast Food Restaurant
2237,Williamsburg,Pizzeria
2238,Williamsburg,Playground
2239,Williamsburg,Burger Joint
2240,Williamsburg,Pet Grooming Service
2241,Williamsburg,Night Club
2242,Williamsburg,Playground
2243,Williamsburg,Fried Chicken Joint
2244,Williamsburg,Chinese Restaurant
2245,Williamsburg,Bicycle Store
2246,Williamsburg,Art Gallery
2247,Williamsburg,Park
2248,Williamsburg,Jewelry Store
2249,Williamsburg,Bakery
2250,Williamsburg,American Restaurant
2251,Williamsburg,Café
2252,Williamsburg,Music Venue
2253,Williamsburg,American Restaurant
2254,Williamsburg,Brasserie
2255,Williamsburg,Bar
2256,Williamsburg,Cocktail Bar
2257,Williamsburg,Clothing Store
2258,Williamsburg,Pizzeria
2259,Williamsburg,Pizzeria
2260,Williamsburg,Hair Salon
2261,Williamsburg,Furniture and Home Store
2262,Williamsburg,Thai Restaurant
2263,Williamsburg,Latin American Restaurant
2264,Williamsburg,Tattoo Parlor
2265,Bushwick,Cocktail Bar
2266,Bushwick,Café
2267,Bushwick,Cocktail Bar
2268,Bushwick,Cocktail Bar
2269,Bushwick,Vintage and Thrift Store
2270,Bushwick,Bar
2271,Bushwick,Bar
2272,Bushwick,Mexican Restaurant
2273,Bushwick,Night Club
2274,Bushwick,Mexican Restaurant
2275,Bushwick,Coffee Shop
2276,Bushwick,American Restaurant
2277,Bushwick,Used Bookstore
2278,Bushwick,Music Venue
2279,Bushwick,Taco Restaurant
2280,Bushwick,Vegan and Vegetarian Restaurant
2281,Bushwick,Café
2282,Bushwick,Italian Restaurant
2283,Bushwick,Gourmet Store
2284,Bushwick,Deli
2285,Bushwick,Photography Service
2286,Bushwick,Laundromat
2287,Bushwick,Pizzeria
2288,Bushwick,Bagel Shop
2289,Bushwick,Mexican Restaurant
2290,Bushwick,Bakery
2291,Bushwick,Vaporizer Store
2292,Bushwick,Dive Bar
2293,Bushwick,Liquor Store
2294,Bushwick,Retail
2295,Bushwick,Gourmet Store
2296,Bushwick,Design Studio
2297,Bushwick,American Restaurant
2298,Bushwick,Night Club
2299,Bushwick,Bar
2300,Bushwick,Burger Joint
2301,Bushwick,Coffee Shop
2302,Bushwick,Cocktail Bar
2303,Bushwick,Bubble Tea Shop
2304,Bushwick,Pet Supplies Store
2305,Bushwick,Beer Store
2306,Bushwick,Grocery Store / Supermarket
2307,Bushwick,Bar
2308,Bushwick,Farmers' Market
2309,Bushwick,Music Venue
2310,Bushwick,Video Games Store
2311,Bushwick,Deli
2312,Bushwick,Cocktail Bar
2313,Bushwick,Restaurant
2314,Bushwick,Dive Bar
2315,Bedford Stuyvesant,Bar
2316,Bedford Stuyvesant,Pizzeria
2317,Bedford Stuyvesant,Fashion Accessories Store
2318,Bedford Stuyvesant,Juice Bar
2319,Bedford Stuyvesant,Café
2320,Bedford Stuyvesant,Coffee Shop
2321,Bedford Stuyvesant,Discount Store
2322,Bedford Stuyvesant,Beer Bar
2323,Bedford Stuyvesant,Wine Store
2324,Bedford Stuyvesant,Coffee Shop
2325,Bedford Stuyvesant,Japanese Curry Restaurant
2326,Bedford Stuyvesant,Coffee Shop
2327,Bedford Stuyvesant,Bar
2328,Bedford Stuyvesant,Landmarks and Outdoors
2329,Bedford Stuyvesant,Gift Store
2330,Bedford Stuyvesant,Hair Salon
2331,Bedford Stuyvesant,Picnic Area
2332,Bedford Stuyvesant,BBQ Joint
2333,Bedford Stuyvesant,Bank
2334,Bedford Stuyvesant,Cocktail Bar
2335,Bedford Stuyvesant,Vintage and Thrift Store
2336,Bedford Stuyvesant,Bar
2337,Bedford Stuyvesant,Cocktail Bar
2338,Bedford Stuyvesant,Bagel Shop
2339,Bedford Stuyvesant,Cocktail Bar
2340,Bedford Stuyvesant,Coffee Shop
2341,Bedford Stuyvesant,"Cafes, Coffee, and Tea Houses"
2342,Bedford Stuyvesant,Gourmet Store
2343,Bedford Stuyvesant,Restaurant
2344,Bedford Stuyvesant,Winery
2345,Bedford Stuyvesant,Café
2346,Bedford Stuyvesant,Wine Bar
2347,Bedford Stuyvesant,Arepa Restaurant
2348,Bedford Stuyvesant,Deli
2349,Bedford Stuyvesant,General Contractor
2350,Bedford Stuyvesant,Restaurant
2351,Bedford Stuyvesant,Mexican Restaurant
2352,Bedford Stuyvesant,Café
2353,Bedford Stuyvesant,Dog Park
2354,Bedford Stuyvesant,Coffee Shop
2355,Bedford Stuyvesant,Cantonese Restaurant
2356,Bedford Stuyvesant,German Restaurant
2357,Bedford Stuyvesant,Bakery
2358,Bedford Stuyvesant,Fruit and Vegetable Store
2359,Bedford Stuyvesant,Pizzeria
2360,Bedford Stuyvesant,Stadium
2361,Bedford Stuyvesant,Chinese Restaurant
2362,Bedford Stuyvesant,Grocery Store / Supermarket
2363,Bedford Stuyvesant,Grocery Store / Supermarket
2364,Bedford Stuyvesant,Bank
2365,Brooklyn Heights,Drugstore
2366,Brooklyn Heights,Deli
2367,Brooklyn Heights,History Museum
2368,Brooklyn Heights,Hair Salon
2369,Brooklyn Heights,Vintage and Thrift Store
2370,Brooklyn Heights,Nail Salon
2371,Brooklyn Heights,Massage Clinic
2372,Brooklyn Heights,Ice Cream Parlor
2373,Brooklyn Heights,Skin Care Clinic
2374,Brooklyn Heights,Restaurant
2375,Brooklyn Heights,Bubble Tea Shop
2376,Brooklyn Heights,Sushi Restaurant
2377,Brooklyn Heights,Pizzeria
2378,Brooklyn Heights,Sushi Restaurant
2379,Brooklyn Heights,Flower Store
2380,Brooklyn Heights,Drugstore
2381,Brooklyn Heights,Diner
2382,Brooklyn Heights,Juice Bar
2383,Brooklyn Heights,Bakery
2384,Brooklyn Heights,Dessert Shop
2385,Brooklyn Heights,Candy Store
2386,Brooklyn Heights,Cosmetics Store
2387,Brooklyn Heights,Mobile Phone Store
2388,Brooklyn Heights,Italian Restaurant
2389,Brooklyn Heights,Sports Bar
2390,Brooklyn Heights,Nail Salon
2391,Brooklyn Heights,Liquor Store
2392,Brooklyn Heights,Café
2393,Brooklyn Heights,Asian Restaurant
2394,Brooklyn Heights,Women's Store
2395,Brooklyn Heights,Pet Grooming Service
2396,Brooklyn Heights,Coffee Shop
2397,Brooklyn Heights,Coffee Shop
2398,Brooklyn Heights,Health and Beauty Service
2399,Brooklyn Heights,Plaza
2400,Brooklyn Heights,Barbershop
2401,Brooklyn Heights,"Cafes, Coffee, and Tea Houses"
2402,Brooklyn Heights,Butcher
2403,Brooklyn Heights,Playground
2404,Brooklyn Heights,Restaurant
2405,Brooklyn Heights,Restaurant
2406,Brooklyn Heights,Chinese Restaurant
2407,Brooklyn Heights,Sushi Restaurant
2408,Brooklyn Heights,Fast Food Restaurant
2409,Brooklyn Heights,Organic Grocery
2410,Brooklyn Heights,Falafel Restaurant
2411,Brooklyn Heights,Garden
2412,Brooklyn Heights,Park
2413,Brooklyn Heights,Bank
2414,Brooklyn Heights,Drugstore
2415,Cobble Hill,Burger Joint
2416,Cobble Hill,Park
2417,Cobble Hill,Cocktail Bar
2418,Cobble Hill,Tapas Restaurant
2419,Cobble Hill,Bookstore
2420,Cobble Hill,Bar
2421,Cobble Hill,Italian Restaurant
2422,Cobble Hill,Sushi Restaurant
2423,Cobble Hill,Café
2424,Cobble Hill,Playground
2425,Cobble Hill,Cocktail Bar
2426,Cobble Hill,Spa
2427,Cobble Hill,American Restaurant
2428,Cobble Hill,Cocktail Bar
2429,Cobble Hill,Playground
2430,Cobble Hill,Cocktail Bar
2431,Cobble Hill,Men's Store
2432,Cobble Hill,Restaurant
2433,Cobble Hill,Cocktail Bar
2434,Cobble Hill,Pizzeria
2435,Cobble Hill,Cocktail Bar
2436,Cobble Hill,Pizzeria
2437,Cobble Hill,Dive Bar
2438,Cobble Hill,Liquor Store
2439,Cobble Hill,French Restaurant
2440,Cobble Hill,Sporting Goods Retail
2441,Cobble Hill,Dive Bar
2442,Cobble Hill,Fish Market
2443,Cobble Hill,Wine Bar
2444,Cobble Hill,Restaurant
2445,Cobble Hill,Ice Cream Parlor
2446,Cobble Hill,Hair Salon
2447,Cobble Hill,Meat and Seafood Store
2448,Cobble Hill,BBQ Joint
2449,Cobble Hill,Art Gallery
2450,Cobble Hill,Caterer
2451,Cobble Hill,Hair Salon
2452,Cobble Hill,Sports Bar
2453,Cobble Hill,African Restaurant
2454,Cobble Hill,Cocktail Bar
2455,Cobble Hill,Middle Eastern Restaurant
2456,Cobble Hill,Thai Restaurant
2457,Cobble Hill,Cocktail Bar
2458,Cobble Hill,Restaurant
2459,Cobble Hill,Coffee Shop
2460,Cobble Hill,Bakery
2461,Cobble Hill,Art Gallery
2462,Cobble Hill,Indian Restaurant
2463,Cobble Hill,Coffee Shop
2464,Cobble Hill,Bakery
2465,Carroll Gardens,Cocktail Bar
2466,Carroll Gardens,Farmers' Market
2467,Carroll Gardens,Coffee Shop
2468,Carroll Gardens,Playground
2469,Carroll Gardens,Beer Bar
2470,Carroll Gardens,Greek Restaurant
2471,Carroll Gardens,Hair Salon
2472,Carroll Gardens,American Restaurant
2473,Carroll Gardens,Barbershop
2474,Carroll Gardens,Bistro
2475,Carroll Gardens,Café
2476,Carroll Gardens,Butcher
2477,Carroll Gardens,Bakery
2478,Carroll Gardens,Italian Restaurant
2479,Carroll Gardens,Food and Beverage Retail
2480,Carroll Gardens,Lounge
2481,Carroll Gardens,Wine Bar
2482,Carroll Gardens,Gaming Cafe
2483,Carroll Gardens,Coffee Shop
2484,Carroll Gardens,BBQ Joint
2485,Carroll Gardens,Bar
2486,Carroll Gardens,Wine Bar
2487,Carroll Gardens,Real Estate Agency
2488,Carroll Gardens,Cocktail Bar
2489,Carroll Gardens,Bakery
2490,Carroll Gardens,Tattoo Parlor
2491,Carroll Gardens,Music Venue
2492,Carroll Gardens,Spa
2493,Carroll Gardens,Lounge
2494,Carroll Gardens,Bakery
2495,Carroll Gardens,Dim Sum Restaurant
2496,Carroll Gardens,Wine Bar
2497,Carroll Gardens,Nail Salon
2498,Carroll Gardens,Liquor Store
2499,Carroll Gardens,Video Store
2500,Carroll Gardens,Wine Bar
