,neighborhood,mean_x,borough,latitude,longitude
136,Rockaway Beach,1833.3333333333333,Queens,40.582801696845586,-73.82236121088751
137,Roosevelt Island,3380.6666666666665,Manhattan,40.76215960576283,-73.94916769227953
138,Rosebank,1806.4622871046229,Staten Island,40.61530494652761,-74.06980526716141
139,Rosedale,2048.1289537712896,Queens,40.659816433428084,-73.73526079428278
140,Sheepshead Bay,1811.6666666666667,Brooklyn,40.58689012678384,-73.94318640482979
141,Silver Lake,2049.2746732612713,Staten Island,40.61919310792676,-74.09629029235458
142,Soho,3048.3333333333335,Manhattan,40.72218384131794,-74.00065666959759
143,South Beach,1949.2746732612713,Staten Island,40.58024741350956,-74.0795529253982
144,South Jamaica,2049.2746732612713,Queens,40.696911253789885,-73.7904261313554
145,South Ozone Park,1874.1289537712894,Queens,40.66854957767195,-73.80986478649041
146,St. Albans,1923.1289537712894,Queens,40.69444538522359,-73.75867603727717
147,St. George,1998.6666666666667,Staten Island,40.6449815710044,-74.07935312512797
148,Stapleton,2327.6666666666665,Staten Island,40.62692762538176,-74.07790192660066
149,Sunset Park,3175.0,Brooklyn,40.64510294925429,-74.01031618527784
150,Throgs Neck,2326.3333333333335,Bronx,40.81510925804005,-73.81635002158441
151,Tompkinsville,2235.795620437956,Staten Island,40.637316067110326,-74.08055351790115
152,Tribeca,3987.6666666666665,Manhattan,40.721521967443216,-74.01068328559087
153,Unionport,1608.3333333333333,Bronx,40.82977429787161,-73.85053524451935
154,University Heights,1648.3333333333333,Bronx,40.85572707719664,-73.9104159619131
155,Upper East Side,2529.3333333333335,Manhattan,40.775638573301805,-73.96050763135
156,Upper West Side,3025.0,Manhattan,40.787657998534854,-73.97705923630603
157,Van Nest,2031.4622871046229,Bronx,40.84360847124718,-73.8662991807561
158,Vinegar Hill,3200.0,Brooklyn,40.70332149882874,-73.98111603592393
159,Wakefield,1625.0,Bronx,40.89470517661,-73.84720052054902
160,Washington Heights,1862.6666666666667,Manhattan,40.85190252555305,-73.93690027985234
161,West Brighton,2073.1289537712896,Staten Island,40.63187892654607,-74.1071817826561
162,West Farms,1739.7956204379561,Bronx,40.83947505672653,-73.87774474910545
163,West Village,3535.0,Manhattan,40.73443393572434,-74.00617998126812
164,Westerleigh,1689.7956204379561,Staten Island,40.62109047275409,-74.13304143951704
165,Whitestone,2056.1289537712896,Queens,40.78129076602694,-73.81420216610863
166,Williamsbridge,1939.7956204379561,Bronx,40.88103887819211,-73.85744642974207
167,Williamsburg,2525.0,Brooklyn,40.70714439344251,-73.95811529220927
168,Willowbrook,1589.7956204379561,Staten Island,40.60370692627371,-74.13208447484298
169,Windsor Terrace,2349.3333333333335,Brooklyn,40.65694583575104,-73.98007340430172
170,Woodhaven,1702.3333333333333,Queens,40.68988687915789,-73.8581104655432
171,Woodside,1807.6666666666667,Queens,40.74634908860222,-73.90184166838284
172,Yorkville,3078.0,Manhattan,40.775929849884875,-73.94711784471826
